appln_id;npl_biblio;ipc_class_symbol;appln_abstract;appln_auth;nb_applicants;nb_inventors;appln_nr_original;npl_issn
352948689;"Ganschow et al., 'Growth conditions and composition of terbium aluminum garnet single crystals grown by the micro pulling down technique', Journal of Crystal Growth, Elsevier, Amsterdam, NL, vol. 225, No. 2-4, May 1, 2001, pp. 454-457. XP004242455.";"C30B  15/08";"It is an object of the present invention to provide a magneto-optical material containing as a main component an oxide that includes a terbium oxide and having a large Verdet constant at a wavelength in the 1.06 µm region (0.9 to 1.1 µm) and high transparency, and to provide a small-sized optical isolator suitably used in a fiber laser for a processing machine. The magneto-optical material of the present invention contains an oxide represented by Formula (I) below at a content of at least 99 wt%, \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ(Tb x R 1-x ) 2 O 3 €ƒ€ƒ€ƒ€ƒ€ƒ(I) \n wherein x satisfies 0.4 ‰¤ x ‰¤ 1.0 and R includes at least one element selected from the group consisting of scandium, yttrium, and lanthanoid elements other than terbium.";"EP";1;4;"11830687";"0022-0248"
352948689;"Geho et al., 'Growth mechanism of incongruently melting terbium aluminum garnet (Tb3Al5O12; TAG) single crystals by laser FZ method', Journal of Crystal Growth, Elsevier, Amsterdam, NL, vol. 275, No. 1-2, Feb. 15, 2005, pp. e663-e667, XP027849644.";"C30B  29/22";"It is an object of the present invention to provide a magneto-optical material containing as a main component an oxide that includes a terbium oxide and having a large Verdet constant at a wavelength in the 1.06 µm region (0.9 to 1.1 µm) and high transparency, and to provide a small-sized optical isolator suitably used in a fiber laser for a processing machine. The magneto-optical material of the present invention contains an oxide represented by Formula (I) below at a content of at least 99 wt%, \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ(Tb x R 1-x ) 2 O 3 €ƒ€ƒ€ƒ€ƒ€ƒ(I) \n wherein x satisfies 0.4 ‰¤ x ‰¤ 1.0 and R includes at least one element selected from the group consisting of scandium, yttrium, and lanthanoid elements other than terbium.";"EP";1;4;"11830687";"0022-0248"
352948689;"Ganschow et al., 'Growth conditions and composition of terbium aluminum garnet single crystals grown by the micro pulling down technique', Journal of Crystal Growth, Elsevier, Amsterdam, NL, vol. 225, No. 2-4, May 1, 2001, pp. 454-457. XP004242455.";"C30B  29/22";"It is an object of the present invention to provide a magneto-optical material containing as a main component an oxide that includes a terbium oxide and having a large Verdet constant at a wavelength in the 1.06 µm region (0.9 to 1.1 µm) and high transparency, and to provide a small-sized optical isolator suitably used in a fiber laser for a processing machine. The magneto-optical material of the present invention contains an oxide represented by Formula (I) below at a content of at least 99 wt%, \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ(Tb x R 1-x ) 2 O 3 €ƒ€ƒ€ƒ€ƒ€ƒ(I) \n wherein x satisfies 0.4 ‰¤ x ‰¤ 1.0 and R includes at least one element selected from the group consisting of scandium, yttrium, and lanthanoid elements other than terbium.";"EP";1;4;"11830687";"0022-0248"
352948689;"Ballato et al., 'Fabrication of fibers with high rare-earth concentrations for Faraday isolator applications', Applied Optics, Optical Society of America, Washington, DC, vol. 34, No. 30, Oct. 20, 1995, pp. 6848-6854, XP002477509.";"C30B  29/22";"It is an object of the present invention to provide a magneto-optical material containing as a main component an oxide that includes a terbium oxide and having a large Verdet constant at a wavelength in the 1.06 µm region (0.9 to 1.1 µm) and high transparency, and to provide a small-sized optical isolator suitably used in a fiber laser for a processing machine. The magneto-optical material of the present invention contains an oxide represented by Formula (I) below at a content of at least 99 wt%, \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ(Tb x R 1-x ) 2 O 3 €ƒ€ƒ€ƒ€ƒ€ƒ(I) \n wherein x satisfies 0.4 ‰¤ x ‰¤ 1.0 and R includes at least one element selected from the group consisting of scandium, yttrium, and lanthanoid elements other than terbium.";"EP";1;4;"11830687";"0003-6935"
352948689;"Ballato et al., 'Fabrication of fibers with high rare-earth concentrations for Faraday isolator applications', Applied Optics, Optical Society of America, Washington, DC, vol. 34, No. 30, Oct. 20, 1995, pp. 6848-6854, XP002477509.";"C30B  13/24";"It is an object of the present invention to provide a magneto-optical material containing as a main component an oxide that includes a terbium oxide and having a large Verdet constant at a wavelength in the 1.06 µm region (0.9 to 1.1 µm) and high transparency, and to provide a small-sized optical isolator suitably used in a fiber laser for a processing machine. The magneto-optical material of the present invention contains an oxide represented by Formula (I) below at a content of at least 99 wt%, \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ(Tb x R 1-x ) 2 O 3 €ƒ€ƒ€ƒ€ƒ€ƒ(I) \n wherein x satisfies 0.4 ‰¤ x ‰¤ 1.0 and R includes at least one element selected from the group consisting of scandium, yttrium, and lanthanoid elements other than terbium.";"EP";1;4;"11830687";"0003-6935"
352948689;"Geho et al., 'Growth mechanism of incongruently melting terbium aluminum garnet (Tb3Al5O12; TAG) single crystals by laser FZ method', Journal of Crystal Growth, Elsevier, Amsterdam, NL, vol. 275, No. 1-2, Feb. 15, 2005, pp. e663-e667, XP027849644.";"C30B  13/24";"It is an object of the present invention to provide a magneto-optical material containing as a main component an oxide that includes a terbium oxide and having a large Verdet constant at a wavelength in the 1.06 µm region (0.9 to 1.1 µm) and high transparency, and to provide a small-sized optical isolator suitably used in a fiber laser for a processing machine. The magneto-optical material of the present invention contains an oxide represented by Formula (I) below at a content of at least 99 wt%, \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ(Tb x R 1-x ) 2 O 3 €ƒ€ƒ€ƒ€ƒ€ƒ(I) \n wherein x satisfies 0.4 ‰¤ x ‰¤ 1.0 and R includes at least one element selected from the group consisting of scandium, yttrium, and lanthanoid elements other than terbium.";"EP";1;4;"11830687";"0022-0248"
353039364;"Gaeumann M et al, 'Single-Crystal Laser Deposition of Superalloys Processing-Microstructure Maps', Acta Materialia, Elsevier,Oxford, Bd 49, Nr 6, Apr. 2, 2001, pp. 1051-1062, ISSN 1359-6454, DOI 10 1016/S1359-6454(00)00367-0, XP001018288, Seite 1061, Absatz 4, 2001, GB, Apr. 2, 2001.";"C30B  29/52";"Through the targeted selection of method parameters with respect to laser welding, advancement, laser power beam diameter and powder mass flow, the temperature gradient, which is fundamentally decisive for the single-crystal growth during laser cladding, can be set in a targeted manner.";"WO";13;11;"EP2012/056739";"1359-6454"
353039364;"Gaeumann M et al, 'Single-Crystal Laser Deposition of Superalloys Processing-Microstructure Maps', Acta Materialia, Elsevier,Oxford, Bd 49, Nr 6, Apr. 2, 2001, pp. 1051-1062, ISSN 1359-6454, DOI 10 1016/S1359-6454(00)00367-0, XP001018288, Seite 1061, Absatz 4, 2001, GB, Apr. 2, 2001.";"C30B  13/24";"Through the targeted selection of method parameters with respect to laser welding, advancement, laser power beam diameter and powder mass flow, the temperature gradient, which is fundamentally decisive for the single-crystal growth during laser cladding, can be set in a targeted manner.";"WO";13;11;"EP2012/056739";"1359-6454"
353047061;"MING-CHUN TSENG ET AL: 'Performance of GaAs/Mirror/Cu-Substrate Thin-Film Solar Cells', IEEE TRANSACTIONS ON ELECTRON DEVICES, IEEE SERVICE CENTER, PISACATAWAY, NJ, US, vol. 58, no. 11, 11 November 2011 (2011-11-11), pages 3898 - 3904, XP011387156, ISSN: 0018-9383, DOI: 10.1109/TED.2011.2165721";"C30B  33/06";"The present invention relates to a method for manufacturing a multijunction solar cell device comprising the steps of providing a first substrate; providing a second substrate having a lower surface and an upper surface; forming at least one first solar cell layer on the first substrate to obtain a first wafer structure; forming at least one second solar cell layer on the upper surface of the second substrate to obtain a second wafer structure; bonding the first wafer structure to the second wafer structure wherein the at least one first solar cell layer is bonded to the lower surface of the second substrate and removing the first substrate.";"EP";2;4;"12290106";"0018-9383"
353050088;"FAVRE A ET AL: 'An original way to investigate the siliconizing of carbon materials', CERAMICS INTERNATIONAL, ELSEVIER, AMSTERDAM, NL, vol. 29, no. 3, 1 January 2003 (2003-01-01), pages 235 - 243, XP004410404, ISSN: 0272-8842, DOI: 10.1016/S0272-8842(02)00110-4";"C30B  11/00";"La présente invention concerne un procédé de préparation de silicium (11) à l'état solide supporté sur une couche (40) de carbure de silicium fracturée comportant au moins les étapes consistant à : d) disposer d'un moule (1) dans lequel est ménagé au moins un logement (2) délimité par des parois (3) destinées à constituer un support pour le moulage de silicium (10) à l'état fondu, e) mettre en contact lesdites parois (3) avec du silicium (10) à l'état fondu, et f) soumettre ledit silicium (10) à l'état fondu à des conditions propices à sa solidification dans ledit logement (2), ledit procédé étant caractérisé en ce que la face interne (4) desdites parois (3) est formée d'un graphite destiné à être mis en contact avec le silicium (10) à l'état fondu et présentant un coefficient de dilatation thermique alpha vérifiant, sur une plage de température allant de la température ambiante à la température de fusion du silicium, la relation suivante : alpha désignant le coefficient de dilatation thermique du silicium et alpha désignant le coefficient de dilatation thermique du carbure de silicium.";"FR";1;5;"1250204";"0272-8842"
