appln_id;npl_biblio;ipc_class_symbol;appln_abstract;appln_auth;appln_nr_original;npl_issn
470863012;"CIAN CUMMINS, PARVANEH MOKARIAN-TABARI, PASCAL ANDREAZZA, CHRISTOPHE SINTUREL, MICHAEL A. MORRIS: '-lactide) Block Copolymer Thin Films for Directed Self-Assembly Application', ACS APPLIED MATERIALS & INTERFACES, ACS AMERICAN CHEMICAL SOCIETY, US, vol. 8, no. 12, 30 March 2016 (2016-03-30), US, pages 8295 - 8304, XP055419698, ISSN: 1944-8244, DOI: 10.1021/acsami.6b00765";"B82Y  40/00";"The present application provides the block copolymers and their application. The block copolymer has an excellent self assembling property and phase separation and various required functions can be freely applied thereto as necessary.";"US";"15102112";"1944-8244"
470863012;"SEGALMAN R A, YOKOYAMA H, KRAMER E J: 'GRAPHOEPITAXY OF SPHERICAL DOMAIN BLOCK COPOLYMER FILMS', ADVANCED MATERIALS, WILEY-VCH GERMANY, DE, vol. 13, no. 15, 3 August 2001 (2001-08-03), DE, pages 1152 - 1155, XP001129643, ISSN: 0935-9648, DOI: 10.1002/1521-4095(200108)13:15<1152::AID-ADMA1152>3.0.CO;2-5";"B82Y  40/00";"The present application provides the block copolymers and their application. The block copolymer has an excellent self assembling property and phase separation and various required functions can be freely applied thereto as necessary.";"US";"15102112";"0935-9648"
470863012;"MAHAJAN S, ET AL: 'Synthesis and Characterization of Amphiphilic Poly(ethylene oxide)-block-poly(hexyl methacrylate Copolymers.', MACROMOLECULAR CHEMISTRY AND PHYSICS., WILEY-VCH VERLAG, WEINHEIM., DE, vol. 204, 1 January 2003 (2003-01-01), DE, pages 1047 - 1055, XP003030406, ISSN: 1022-1352, DOI: 10.1002/macp.200390084";"B82Y  40/00";"The present application provides the block copolymers and their application. The block copolymer has an excellent self assembling property and phase separation and various required functions can be freely applied thereto as necessary.";"US";"15102112";"1022-1352"
470863012;"LUTZ FUNK, MARTIN BREHMER, RUDOLF ZENTEL, HUIMAN KANG, KOOKHEON CHAR: 'Novel Amphiphilic Styrene-Based Block Copolymers for Induced Surface Reconstruction', MACROMOLECULAR CHEMISTRY AND PHYSICS., WILEY-VCH VERLAG, WEINHEIM., DE, vol. 209, no. 1, 4 January 2008 (2008-01-04), DE, pages 52 - 63, XP055382259, ISSN: 1022-1352, DOI: 10.1002/macp.200700312";"B82Y  40/00";"The present application provides the block copolymers and their application. The block copolymer has an excellent self assembling property and phase separation and various required functions can be freely applied thereto as necessary.";"US";"15102112";"1022-1352"
470892878;"DANDAN ZHANG ET AL: 'Solution-Phase Synthesis of Cesium Lead Halide Perovskite Nanowires', JOURNAL OF THE AMERICAN CHEMICAL SOCIETY, vol. 137, no. 29, 29 July 2015 (2015-07-29), pages 9230 - 9233, XP055241599, ISSN: 0002-7863, DOI: 10.1021/jacs.5b05404";"B82Y  20/00";"A quantum dot having a perovskite crystal structure and including a compound represented by Chemical Formula 1: \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ Chemical Formula 1€ƒ€ƒ€ƒ€ƒ€ƒABX 3+± \n wherein, A is a Group IA metal selected from Rb, Cs, Fr, and a combination thereof, B is a Group IVA metal selected from Si, Ge, Sn, Pb, and a combination thereof, X is a halogen selected from F, Cl, Br, and I, BF 4 , or a combination thereof, and ± is greater than 0 and less than or equal to about 3; and wherein the quantum dot has a size of about 1 nanometer to about 50 nanometers";"EP";"16196124";"0002-7863"
470892878;"QUINTEN A. AKKERMAN ET AL: 'Tuning the Optical Properties of Cesium Lead Halide Perovskite Nanocrystals by Anion Exchange Reactions', JOURNAL OF THE AMERICAN CHEMICAL SOCIETY, vol. 137, no. 32, 19 August 2015 (2015-08-19), pages 10276 - 10281, XP055368862, ISSN: 0002-7863, DOI: 10.1021/jacs.5b05602";"B82Y  20/00";"A quantum dot having a perovskite crystal structure and including a compound represented by Chemical Formula 1: \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ Chemical Formula 1€ƒ€ƒ€ƒ€ƒ€ƒABX 3+± \n wherein, A is a Group IA metal selected from Rb, Cs, Fr, and a combination thereof, B is a Group IVA metal selected from Si, Ge, Sn, Pb, and a combination thereof, X is a halogen selected from F, Cl, Br, and I, BF 4 , or a combination thereof, and ± is greater than 0 and less than or equal to about 3; and wherein the quantum dot has a size of about 1 nanometer to about 50 nanometers";"EP";"16196124";"0002-7863"
470892878;"LOREDANA PROTESESCU ET AL: 'Nanocrystals of Cesium Lead Halide Perovskites (CsPbX 3 , X = Cl, Br, and I): Novel Optoelectronic Materials Showing Bright Emission with Wide Color Gamut', NANO LETTERS, vol. 15, no. 6, 10 June 2015 (2015-06-10), US, pages 3692 - 3696, XP055241814, ISSN: 1530-6984, DOI: 10.1021/nl5048779";"B82Y  20/00";"A quantum dot having a perovskite crystal structure and including a compound represented by Chemical Formula 1: \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ Chemical Formula 1€ƒ€ƒ€ƒ€ƒ€ƒABX 3+± \n wherein, A is a Group IA metal selected from Rb, Cs, Fr, and a combination thereof, B is a Group IVA metal selected from Si, Ge, Sn, Pb, and a combination thereof, X is a halogen selected from F, Cl, Br, and I, BF 4 , or a combination thereof, and ± is greater than 0 and less than or equal to about 3; and wherein the quantum dot has a size of about 1 nanometer to about 50 nanometers";"EP";"16196124";"1530-6984"
470892878;"LOREDANA PROTESESCU ET AL: 'Nanocrystals of Cesium Lead Halide Perovskites (CsPbX 3 , X = Cl, Br, and I): Novel Optoelectronic Materials Showing Bright Emission with Wide Color Gamut', NANO LETTERS, vol. 15, no. 6, 10 June 2015 (2015-06-10), US, pages 3692 - 3696, XP055241814, ISSN: 1530-6984, DOI: 10.1021/nl5048779";"B82Y  40/00";"A quantum dot having a perovskite crystal structure and including a compound represented by Chemical Formula 1: \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ Chemical Formula 1€ƒ€ƒ€ƒ€ƒ€ƒABX 3+± \n wherein, A is a Group IA metal selected from Rb, Cs, Fr, and a combination thereof, B is a Group IVA metal selected from Si, Ge, Sn, Pb, and a combination thereof, X is a halogen selected from F, Cl, Br, and I, BF 4 , or a combination thereof, and ± is greater than 0 and less than or equal to about 3; and wherein the quantum dot has a size of about 1 nanometer to about 50 nanometers";"EP";"16196124";"1530-6984"
470892878;"DANDAN ZHANG ET AL: 'Solution-Phase Synthesis of Cesium Lead Halide Perovskite Nanowires', JOURNAL OF THE AMERICAN CHEMICAL SOCIETY, vol. 137, no. 29, 29 July 2015 (2015-07-29), pages 9230 - 9233, XP055241599, ISSN: 0002-7863, DOI: 10.1021/jacs.5b05404";"B82Y  40/00";"A quantum dot having a perovskite crystal structure and including a compound represented by Chemical Formula 1: \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ Chemical Formula 1€ƒ€ƒ€ƒ€ƒ€ƒABX 3+± \n wherein, A is a Group IA metal selected from Rb, Cs, Fr, and a combination thereof, B is a Group IVA metal selected from Si, Ge, Sn, Pb, and a combination thereof, X is a halogen selected from F, Cl, Br, and I, BF 4 , or a combination thereof, and ± is greater than 0 and less than or equal to about 3; and wherein the quantum dot has a size of about 1 nanometer to about 50 nanometers";"EP";"16196124";"0002-7863"
470892878;"QUINTEN A. AKKERMAN ET AL: 'Tuning the Optical Properties of Cesium Lead Halide Perovskite Nanocrystals by Anion Exchange Reactions', JOURNAL OF THE AMERICAN CHEMICAL SOCIETY, vol. 137, no. 32, 19 August 2015 (2015-08-19), pages 10276 - 10281, XP055368862, ISSN: 0002-7863, DOI: 10.1021/jacs.5b05602";"B82Y  40/00";"A quantum dot having a perovskite crystal structure and including a compound represented by Chemical Formula 1: \n €ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ€ƒ Chemical Formula 1€ƒ€ƒ€ƒ€ƒ€ƒABX 3+± \n wherein, A is a Group IA metal selected from Rb, Cs, Fr, and a combination thereof, B is a Group IVA metal selected from Si, Ge, Sn, Pb, and a combination thereof, X is a halogen selected from F, Cl, Br, and I, BF 4 , or a combination thereof, and ± is greater than 0 and less than or equal to about 3; and wherein the quantum dot has a size of about 1 nanometer to about 50 nanometers";"EP";"16196124";"0002-7863"
470966850;"LIU SUQIN ET AL: 'Straightforward fabrication of highly ordered TiO'2 nanowire arrays in AAM on aluminum substrate', SOLAR ENERGY MATERIALS AND SOLAR CELLS, ELSEVIER SCIENCE PUBLISHERS, AMSTERDAM, NL, vol. 85, no. 1, 1 January 2005 (2005-01-01), pages 125 - 131, XP027815019, ISSN: 0927-0248, [retrieved on 20050101]";"B82Y  30/00";"The invention is directed to a process for producing of an organized network of nanowires on metallic substrate, said process comprising the steps of (a) providing a metallic substrate; (b) anodizing said metallic substrate so as to form an oxide layer on said metallic substrate; (c) etching the oxide layer which has been formed in step (b) so as to form a template; (d) depositing a component in the template formed in step (c), said component forming said nanowires; (e) etching the residual amount of component; and (f) etching partially the oxide layer so as to remove partially said template. Said nanowires are embedded in said oxide layer.";"LU";"93245";"0927-0248"
